826,946,945;826,946,930;826,945,930;930,946,945
826,945,810;826,945,930;826,810,930;930,945,810
826,931,946;826,931,930;826,946,930;930,931,946
826,810,931;826,810,930;826,931,930;930,810,931
826,811,931;826,811,810;826,931,810;810,811,931
826,945,825;826,945,810;826,825,810;810,945,825
944,839,840;944,839,824;944,840,824;824,839,840
944,960,840;944,960,839;944,840,839;839,960,840
944,960,945;944,960,840;944,945,840;840,960,945
944,840,825;944,840,824;944,825,824;824,840,825
944,945,825;944,945,840;944,825,840;840,945,825
944,959,960;944,959,839;944,960,839;839,959,960
919,918,813;919,918,798;919,813,798;798,918,813
919,813,814;919,813,798;919,814,798;798,813,814
919,814,799;919,814,798;919,799,798;798,814,799
919,813,933;919,813,814;919,933,814;814,813,933
919,933,813;919,933,918;919,813,918;918,933,813
919,933,934;919,933,814;919,934,814;814,933,934
887,781,901;887,781,916;887,901,916;916,781,901
887,916,902;887,916,782;887,902,782;782,916,902
887,767,781;887,767,782;887,781,782;782,767,781
887,796,781;887,796,916;887,781,916;916,796,781
887,781,796;887,781,782;887,796,782;782,781,796
887,796,916;887,796,782;887,916,782;782,796,916
817,711,831;817,711,832;817,831,832;832,711,831
817,816,831;817,816,711;817,831,711;711,816,831
817,712,711;817,712,832;817,711,832;832,712,711
817,712,697;817,712,711;817,697,711;711,712,697
817,697,696;817,697,711;817,696,711;711,697,696
817,696,816;817,696,711;817,816,711;711,696,816
1035,1155,1170;1035,1155,1154;1035,1170,1154;1154,1155,1170
1035,1169,1049;1035,1169,1034;1035,1049,1034;1034,1169,1049
1035,1169,1034;1035,1169,1154;1035,1034,1154;1154,1169,1034
1035,1050,1169;1035,1050,1170;1035,1169,1170;1170,1050,1169
1035,1170,1169;1035,1170,1154;1035,1169,1154;1154,1170,1169
1035,1049,1169;1035,1049,1050;1035,1169,1050;1050,1049,1169
1035,1170,1155;1035,1170,1156;1035,1155,1156;1156,1170,1155
1035,1171,1170;1035,1171,1156;1035,1170,1156;1156,1171,1170
1035,1036,1051;1035,1036,1171;1035,1051,1171;1171,1036,1051
1035,1171,1050;1035,1171,1170;1035,1050,1170;1170,1171,1050
1035,1036,1171;1035,1036,1156;1035,1171,1156;1156,1036,1171
1035,1171,1051;1035,1171,1050;1035,1051,1050;1050,1171,1051
1035,1050,931;1035,1050,930;1035,931,930;930,1050,931
1035,931,916;1035,931,930;1035,916,930;930,931,916
1035,931,1036;1035,931,916;1035,1036,916;916,931,1036
1035,1051,1036;1035,1051,931;1035,1036,931;931,1051,1036
1035,916,915;1035,916,930;1035,915,930;930,916,915
1035,1050,1051;1035,1050,931;1035,1051,931;931,1050,1051
1275,1155,1170;1275,1155,1156;1275,1170,1156;1156,1155,1170
1275,1170,1171;1275,1170,1156;1275,1171,1156;1156,1170,1171
1275,1156,1171;1275,1156,1291;1275,1171,1291;1291,1156,1171
1275,1171,1170;1275,1171,1291;1275,1170,1291;1291,1171,1170
1275,1170,1290;1275,1170,1291;1275,1290,1291;1291,1170,1290
1275,1276,1156;1275,1276,1291;1275,1156,1291;1291,1276,1156
948,814,813;948,814,829;948,813,829;829,814,813
948,949,814;948,949,829;948,814,829;829,949,814
948,813,828;948,813,829;948,828,829;829,813,828
948,933,813;948,933,814;948,813,814;814,933,813
948,949,934;948,949,814;948,934,814;814,949,934
948,934,933;948,934,814;948,933,814;814,934,933
948,1069,1068;948,1069,1053;948,1068,1053;1053,1069,1068
948,934,1054;948,934,1053;948,1054,1053;1053,934,1054
948,933,934;948,933,1053;948,934,1053;1053,933,934
948,934,949;948,934,1069;948,949,1069;1069,934,949
948,1054,934;948,1054,1069;948,934,1069;1069,1054,934
948,1054,1069;948,1054,1053;948,1069,1053;1053,1054,1069
948,947,1052;948,947,1067;948,1052,1067;1067,947,1052
948,1052,1053;948,1052,1067;948,1053,1067;1067,1052,1053
948,1052,932;948,1052,1053;948,932,1053;1053,1052,932
948,932,1052;948,932,947;948,1052,947;947,932,1052
948,932,933;948,932,1053;948,933,1053;1053,932,933
948,1053,1068;948,1053,1067;948,1068,1067;1067,1053,1068
1055,1159,1040;1055,1159,1160;1055,1040,1160;1160,1159,1040
1055,1175,1159;1055,1175,1160;1055,1159,1160;1160,1175,1159
1055,1039,1040;1055,1039,1159;1055,1040,1159;1159,1039,1040
1055,1174,1039;1055,1174,1159;1055,1039,1159;1159,1174,1039
1055,1175,1174;1055,1175,1159;1055,1174,1159;1159,1175,1174
1055,1174,1054;1055,1174,1039;1055,1054,1039;1039,1174,1054
1055,1190,1069;1055,1190,1189;1055,1069,1189;1189,1190,1069
1055,1175,1190;1055,1175,1189;1055,1190,1189;1189,1175,1190
1055,1054,1174;1055,1054,1069;1055,1174,1069;1069,1054,1174
1055,1190,1070;1055,1190,1069;1055,1070,1069;1069,1190,1070
